property_id,sale_price,address,square_footage,bedrooms,bathrooms,features
MIA10001,$7250000,"100 S Pointe Dr #3801, Miami Beach, FL 33139",4500,4,5.5,"Ocean view, Private elevator, Wine cellar, Smart home system, Marble floors"
MIA10002,$12750000,"5800 N Bay Rd, Miami Beach, FL 33140",8200,6,8,"Waterfront, Infinity pool, Home theater, Guest house, Boat dock"
MIA10003,$5890000,"3315 Collins Ave #9C, Miami Beach, FL 33140",3100,3,3.5,"Beachfront, Designer furnishings, Floor-to-ceiling windows, Private balcony, Concierge"
MIA10004,$9450000,"6396 N Bay Rd, Miami Beach, FL 33141",6800,5,6,"Waterfront, Heated pool, Summer kitchen, Rooftop terrace, Impact windows"
MIA10005,$4250000,"60 Edgewater Dr #TS-A, Coral Gables, FL 33133",3800,3,4,"Penthouse, Private rooftop, Italian kitchen, Wine room, Smart home"
MIA10006,$8900000,"11 Island Dr, Key Biscayne, FL 33149",7500,6,7.5,"Gated community, Tennis court, Pool, Spa, Summer kitchen"
MIA10007,$6350000,"3535 Hiawatha Ave, Coconut Grove, FL 33133",5200,4,5,"Tropical garden, Pool, Outdoor kitchen, Home office, Impact windows"
MIA10008,$15200000,"252 Bal Bay Dr, Bal Harbour, FL 33154",9800,7,9,"Waterfront, Private beach access, Elevator, Home theater, Wine cellar"
MIA10009,$3950000,"10295 Collins Ave #1203, Bal Harbour, FL 33154",2900,3,3.5,"Ocean view, Private elevator, Designer kitchen, Marble floors, Building amenities"
MIA10010,$7800000,"445 Grand Bay Dr, Key Biscayne, FL 33149",5600,5,6.5,"Waterfront, Pool, Outdoor kitchen, Smart home, Hurricane impact windows"
MIA10011,$5450000,"3400 SW 27th Ave, Coconut Grove, FL 33133",4300,4,4.5,"Gated community, Pool, Spa, Summer kitchen, Home office"
MIA10012,$11500000,"5050 N Bay Rd, Miami Beach, FL 33140",7900,6,7,"Waterfront, Infinity pool, Home theater, Wine room, Boat dock"
MIA10013,$4750000,"9701 Collins Ave #1003S, Bal Harbour, FL 33154",3200,3,4,"Ocean view, Private elevator, Designer furnishings, Marble floors, Building amenities"
MIA10014,$9250000,"13 Star Island Dr, Miami Beach, FL 33139",8500,7,8.5,"Waterfront, Gated island, Pool, Tennis court, Boat dock"
MIA10015,$6890000,"4701 N Meridian Ave, Miami Beach, FL 33140",5800,5,6,"Pool, Outdoor kitchen, Home theater, Smart home, Impact windows"