Name,Company,Category,Description,Key Features,Use Cases,Release Date
Claude 3.7 Sonnet,Anthropic,Enterprise AI,"Anthropic's most intelligent AI model, designed to serve humanity's long-term well-being through responsible AI development","AI-powered applications, Custom experiences, Human benefit at the foundation, Proprietary agent training data, Suite of multimodal models, Custom actuation software","AI research, Product development, Societal impacts analysis, Supply-chain management, Financial services, Healthcare applications",2025-02-24
AskUI Vision Agents,AskUI,Vision AI,"Empowers developers to build agents that interact with applications using AI-driven vision technology","AI Vision Technology, Cross-Application Control, Prompt-to-Action (PTA), Customizable Agents, Integration Friendly, Scalable Deployment","QA testing, Document extraction, Workflow automation",2024
LandingLens,Landing AI,Visual AI,"A visual AI platform designed to help companies harness their visual data to create, deploy, and scale visual AI solutions","User-friendly interface, Quick model building, Data accuracy optimization","Visual data processing, Image recognition, Quality control",2024
Adept,Adept,Enterprise AI,"Focuses on agentic AI for tech stacks, automating software processes with a full-stack approach","Locate (finding elements), Web VQA (answering questions), Planning (executing workflows)","Web automation, Document processing, Workflow execution",2024
automaited,automaited,Document Processing,"AI-driven automation for document-centric business processes","Pre-trained AI (Ada), No complex training, Seamless integration","Document capture, Data validation, Workflow integration",2024
CrewAI,CrewAI,Multi-agent Platform,"A leading multi-agent platform designed to streamline workflows across various industries","Build Quickly, Deploy Confidently, Track All Crews, Iterate To Perfection","Workflow automation, Task management, Process optimization",2024
AutoGPT,AutoGPT,Autonomous Agents,"An AI platform designed to revolutionize automation by offering continuous AI agents","Seamless Integration, Autonomous Operation, Intelligent Automation, Reliable Performance","Business automation, Marketing, Education",2024
Open Interpreter,Open Interpreter,Code Execution,"Bridges the gap between language models and code execution, enabling a ChatGPT-like interface in your terminal","Natural language control, Terminal interface, Code execution","Photo and video editing, Browser control, Data analysis",2024
Beam AI,Beam AI,Process Automation,"Platform for Agentic Process Automation used by Fortune 500 companies","AI Agents, Agentic Workflows, Multi-Agent Intelligence, AI-native Agent OS","Operational cost reduction, Workflow automation, Business scaling",2024
Orby AI,Orby AI,Enterprise Automation,"Enterprise AI automation platform focusing on empowering enterprise efficiency at scale","Generative Process Automation (GPA), Enterprise foundation model, Multimodal Large Action Model","Cost reduction, Rapid deployment, Team efficiency improvement",2024
ScreenMate AI,ScreenMate AI,Web Automation,"Allows users to automate web actions using simple text instructions","Real-time execution, Text command transformation, Web action automation","E-commerce automation, UI testing, Data collection, Customer support",2024
Project Astra,Google DeepMind,AI Assistant,"An ambitious project exploring the future of AI assistants, building on Gemini models","Multimodal processing, Context understanding, Natural conversation","Physics explanation, Landmark recognition, Math problem solving",2024
Sema4.ai,Sema4.ai,Enterprise AI Agents,"Focuses on enterprise AI agents as the next generation of applications","Studio & SDK, Control Room, Work Room","Document understanding, Image processing, Autonomous work",2024
UiPath Business Automation Platform,UiPath,Business Automation,"A comprehensive suite designed to cover all automation needs within an organization","Discover (opportunity identification), Automate (workflow building), Operate (optimization)","Process mining, Task mining, UI and API automation",2024
Microsoft Copilot,Microsoft,Business Operations,"Designed to support workflow automation and streamline operations","Office integration, Real-time insights, Recommendations","Document creation, Data analysis, Meeting summaries",2024
Amazon Bedrock,Amazon Web Services,Process Automation,"Agents that autonomously orchestrate multistep processes","Foundation model integration, Tool and data source integration","Customer support, Data analysis, Workflow automation",2024
Oracle Fusion Cloud,Oracle,Business Operations,"AI Agents integrated into Oracle's Fusion Cloud Applications Suite","Finance automation, Supply chain optimization, HR process streamlining","Financial management, Supply chain operations, HR processes",2024
Sixfold,Sixfold,Insurance,"AI company focused on the insurance sector with specialized AI Agents","Insurance underwriting automation, Process streamlining","Insurance assessment, Risk evaluation, Policy processing",2024
Agency,Agency,Enterprise AI,"Platform for building and scaling enterprise AI Agents","Library of over 400 agents, Scalable deployment","Business operations, Process automation",2024
Moveworks,Moveworks,Workplace Automation,"AI solution provider for workplace automation","Automated task management, IT and HR focus","IT support, HR process management, Workflow execution",2024
Automation Anywhere,Automation Anywhere,RPA,"Global leader in RPA and enterprise automation","AI-driven decision-making, Large-scale workflow handling","Repetitive task automation, Complex workflow management",2024
Hippocratic AI,Hippocratic AI,Healthcare,"AI company focused on safe medical automation","Healthcare-focused agents, Human-like support","Wellness coaching, Chronic care management",2024
Cognition Labs (Devin),Cognition Labs,Software Development,"AI research lab developing autonomous software Agents","Autonomous software development, Coding solutions","Software development, Engineering support",2024
Fractal AI,Fractal AI,Analytics,"Advanced and strategic analytics and AI provider","Data processing automation, Predictive analytics","Healthcare analytics, Finance insights, Retail optimization",2024
IBM watsonx,IBM,Business Process Management,"IBM's platform for enterprise automation","BPM solutions, Compliance management, watsonx Assistant","Healthcare processes, Financial compliance, HR support",2024
Salesforce Agentforce,Salesforce,CRM,"Leading CRM and sales platform with AI agents","CRM support, Lead scoring, Data management","Sales process optimization, Customer relationship management",2024
Multimodal,Multimodal,Enterprise AI,"Agentic AI solution provider for finance and insurance","AgentFlow platform, Agent orchestration, Audit trails","Document classification, Automated decisions, Content creation",2024
Orba AI,Orba AI,Enterprise Automation,"Focuses on enterprise automation using AI Agents","Document processing, Complex data management","Data classification, Information retrieval",2024
Relevance AI,Relevance AI,Enterprise AI,"Builds AI Agent frameworks with a focus on modularity and scalability","Document categorization, Sentiment analysis, Real-time processing","Data analysis, Content categorization, Sentiment tracking",2024
SAP SE Joule AI,SAP,Enterprise Software,"Global leader in enterprise software AI solutions","Collaborative AI Agents, Complex workflow handling","Dispute management, Financial accounting, Invoice handling",2024
Capgemini,Capgemini,IT Consulting,"A global IT consulting firm and professional services firm","Custom generative AI, Industry-specific solutions","Workflow streamlining, Process optimization",2024
Hebbia,Hebbia,Enterprise Productivity,"AI startup focused on enterprise productivity","Matrix AI tool, Complex task handling","Document analysis, Data processing",2024
Accenture,Accenture,Professional Services,"One of the world's largest professional services firms","Comprehensive agentic AI solutions, Business process integration","Process automation, Workflow optimization",2024
qBotica,qBotica,Intelligent Automation,"Specializes in intelligent automation solutions and AI for enterprises","Process automation, System integration","Workflow automation, Task streamlining",2024
NVIDIA,NVIDIA,AI Hardware & Software,"Renowned AI hardware and software company","NVIDIA NIM Agent Blueprints, NVIDIA Jetson edge AI platform","Visual AI applications, Event detection, Interactive Q&A",2024
Inflection AI,Inflection AI,Personal Assistants,"Focuses on AI-powered personal assistants","Adaptive personal assistants, Security compliance","Finance assistance, Healthcare support",2024
Aisera,Aisera,Enterprise Automation,"Enterprise automation and support solution provider","Modular framework, Autonomous agents, System integration","Workflow automation, Real-time support, Case management",2024
Ada,Ada,Customer Support,"Known for its AI-driven chatbots for customer support","Platform integration, Autonomous issue resolution","Customer inquiry handling, Support automation",2024
Interface.ai,Interface.ai,Banking,"AI-powered banking platform","Virtual agents, Banking focus","Customer inquiries, Workflow productivity, Response time reduction",2024
LivePerson,LivePerson,Customer Communication,"Messaging and AI communications platform","AI-driven chatbots, Communication automation","Customer experience enhancement, Communication streamlining",2024
ServiceNow,ServiceNow,ITSM,"ITSM and enterprise workflow platform","AI-powered agents, Workflow streamlining","Customer service, IT support, HR management",2024
SuperAGI,SuperAGI,Open Source,"Open-source autonomous Agent framework","Agent provisioning, Tool extension, Concurrent agent running","Research applications, Development support",2024
AgentGPT,AgentGPT,Web-based AI,"Web-based AI agent interface","Browser-based agents, Customizable goals","Task planning, Goal achievement",2024